gamma,n_0,A_V_max,M_gas,r_out
1.8426966292134832,1.2352165993694857,3.480242200175671e-05,0.08650640828134055,3.976325461457387
1.8651685393258426,1.2352165993694857,3.356439815406792e-05,0.065276886863535,3.266022355116947
1.8876404494382022,1.2352165993694857,3.25841463939938e-05,0.05464031110741079,2.9154022098626027
1.9101123595505618,1.2352165993694857,3.160389463391968e-05,0.04548426988095567,2.5816863833616934
1.9325842696629212,1.2352165993694857,3.108835045869034e-05,0.0446490452925948,2.6304182081219762
1.9550561797752808,1.2352165993694857,3.0573063926726976e-05,0.04364048710252892,2.671122829241544
1.9775280898876404,1.2352165993694857,2.9921504883264703e-05,0.040100874119502194,2.5659035290887573
2.0,1.2352165993694857,2.926994583980243e-05,0.036555715248411835,2.4433393327382564
0.0,1.3728234180517433,0.4403831431451135,2379857230.9118752,2558.3975780136016
0.02247191011235955,1.3728234180517433,0.40076247790411396,2537552450.3209014,2790.440911641183
0.0449438202247191,1.3728234180517433,0.36400077475682224,2720368743.4059224,3055.44525902669
0.06741573033707865,1.3728234180517433,0.33005730737591066,2933463417.7758594,3359.0588870032498
0.0898876404494382,1.3728234180517433,0.2988033057114712,3181914309.4538946,3707.631409978684
